Region,Month,Crop,Demand,Recommendation,
Volta Region,March,Plantain,High,Plant more for higher sales,
Volta Region,March,Yam,High,Plant more for higher sales,
Volta Region,March,Cocoyam,High,Plant more for higher sales,
Volta Region,March,Pepper,High,Plant more for higher sales,
Volta Region,March,Cassava,High,Plant more for higher sales,
Volta Region,April,Maize,High,Plant more for higher sales,
Volta Region,April,Tomato,High,Plant more for higher sales,
Volta Region,April,Rice,High,Plant more for higher sales,
Volta Region,April,Plantain,High,Plant more for higher sales,
Volta Region,April,Yam,High,Plant more for higher sales,
Volta Region,April,Cocoyam,High,Plant more for higher sales,
Volta Region,April,Pepper,High,Plant more for higher sales,
Volta Region,April,Cassava,High,Plant more for higher sales,
Volta Region,May,Maize,High,Plant more for higher sales,
Volta Region,May,Tomato,High,Plant more for higher sales,
Volta Region,May,Rice,High,Plant more for higher sales,
Volta Region,May,Plantain,High,Plant more for higher sales,
Volta Region,May,Yam,High,Plant more for higher sales,
Volta Region,May,Cocoyam,High,Plant more for higher sales,
Volta Region,May,Pepper,High,Plant more for higher sales,
Volta Region,May,Cassava,High,Plant more for higher sales,
Volta Region,June,Maize,Low,Reduce planting, focus on storage
Volta Region,June,Tomato,Low,Reduce planting, focus on storage
Volta Region,June,Rice,High,Plant more for higher sales,
Volta Region,June,Plantain,High,Plant more for higher sales,
Volta Region,June,Yam,Low,Reduce planting, focus on storage
Volta Region,June,Cocoyam,Low,Reduce planting, focus on storage
Volta Region,June,Pepper,Low,Reduce planting, focus on storage
Volta Region,June,Cassava,High,Plant more for higher sales,
Volta Region,July,Maize,Low,Reduce planting, focus on storage
Volta Region,July,Tomato,Low,Reduce planting, focus on storage
Volta Region,July,Rice,High,Plant more for higher sales,
Volta Region,July,Plantain,High,Plant more for higher sales,
Volta Region,July,Yam,Low,Reduce planting, focus on storage
Volta Region,July,Cocoyam,Low,Reduce planting, focus on storage
Volta Region,July,Pepper,Low,Reduce planting, focus on storage
Volta Region,July,Cassava,High,Plant more for higher sales,
Volta Region,August,Maize,Low,Reduce planting, focus on storage
Volta Region,August,Tomato,Low,Reduce planting, focus on storage
Volta Region,August,Rice,High,Plant more for higher sales,
Volta Region,August,Plantain,High,Plant more for higher sales,
Volta Region,August,Yam,Low,Reduce planting, focus on storage
Volta Region,August,Cocoyam,Low,Reduce planting, focus on storage
Volta Region,August,Pepper,Low,Reduce planting, focus on storage
Volta Region,August,Cassava,High,Plant more for higher sales,
Volta Region,September,Maize,Low,Reduce planting, focus on storage
Volta Region,September,Tomato,Low,Reduce planting,focus on storage
Volta Region,September,Rice,Low,Reduce planting, focus on storage
Volta Region,September,Plantain,High,Plant more for higher sales,
Volta Region,September,Yam,Low,Reduce planting, focus on storage
Volta Region,September,Cocoyam,Low,Reduce planting, focus on storage
Volta Region,September,Pepper,Low,Reduce planting, focus on storage
Volta Region,September,Cassava,High,Plant more for higher sales,
Volta Region,October,Maize,Low,Reduce planting, focus on storage
Volta Region,October,Tomato,Low,Reduce planting, focus on storage
Volta Region,October,Rice,Low,Reduce planting, focus on storage
Volta Region,October,Plantain,High,Plant more for higher sales,
Volta Region,October,Yam,Low,Reduce planting, focus on storage
Volta Region,October,Cocoyam,Low,Reduce planting, focus on storage
Volta Region,October,Pepper,Low,Reduce planting, focus on storage
Volta Region,October,Cassava,High,Plant more for higher sales,
Volta Region,November,Maize,Low,Reduce planting, focus on storage
Volta Region,November,Tomato,Low,Reduce planting, focus on storage
Volta Region,November,Rice,Low,Reduce planting, focus on storage
Volta Region,November,Plantain,High,Plant more for higher sales,
Volta Region,November,Yam,Low,Reduce planting, focus on storage
Volta Region,November,Cocoyam,Low,Reduce planting, focus on storage
Volta Region,November,Pepper,Low,Reduce planting, focus on storage
Volta Region,November,Cassava,High,Plant more for higher sales,
Volta Region,December,Maize,Low,Reduce planting, focus on storage
Volta Region,December,Tomato,Low,Reduce planting, focus on storage
Volta Region,December,Rice,Low,Reduce planting, focus on storage
Volta Region,December,Plantain,High,Plant more for higher sales,
Volta Region,December,Yam,Low,Reduce planting, focus on storage
Volta Region,December,Cocoyam,Low,Reduce planting, focus on storage
Volta Region,December,Pepper,Low,Reduce planting, focus on storage
Volta Region,December,Cassava,High,Plant more for higher sales,
Western Region,January,Maize,Low,Reduce planting, focus on storage
Western Region,January,Tomato,Low,Reduce planting, focus on storage
Western Region,January,Rice,Low,Reduce planting, focus on storage
Western Region,January,Plantain,High,Plant more for higher sales,
Western Region,January,Yam,Low,Reduce planting, focus on storage
Western Region,January,Cocoyam,Low,Reduce planting, focus on storage
Western Region,January,Pepper,Low,Reduce planting, focus on storage
Western Region,January,Cassava,High,Plant more for higher sales,
Western Region,February,Maize,Low,Reduce planting, focus on storage
Western Region,February,Tomato,Low,Reduce planting, focus on storage
Western Region,February,Rice,Low,Reduce planting, focus on storage
Western Region,February,Plantain,High,Plant more for higher sales,
Western Region,February,Yam,Low,Reduce planting, focus on storage
Western Region,February,Cocoyam,Low,Reduce planting, focus on storage
Western Region,February,Pepper,Low,Reduce planting,focus on storage
Western Region,February,Cassava,High,Plant more for higher sales,
Western Region,March,Maize,High,Plant more for higher sales,
Western Region,March,Tomato,High,Plant more for higher sales,
Western Region,March,Rice,High,Plant more for higher sales,
Western Region,March,Plantain,High,Plant more for higher sales,
Western Region,March,Yam,High,Plant more for higher sales,
Western Region,March,Cocoyam,High,Plant more for higher sales,
Western Region,March,Pepper,High,Plant more for higher sales,
Western Region,March,Cassava,High,Plant more for higher sales,
Western Region,April,Maize,High,Plant more for higher sales,
Western Region,April,Tomato,High,Plant more for higher sales,
Western Region,April,Rice,High,Plant more for higher sales,
Western Region,April,Plantain,High,Plant more for higher sales,
Western Region,April,Yam,High,Plant more for higher sales,
Western Region,April,Cocoyam,High,Plant more for higher sales,
Western Region,April,Pepper,High,Plant more for higher sales,
Western Region,April,Cassava,High,Plant more for higher sales,
Western Region,May,Maize,High,Plant more for higher sales,
Western Region,May,Tomato,High,Plant more for higher sales,
Western Region,May,Rice,High,Plant more for higher sales,
Western Region,May,Plantain,High,Plant more for higher sales,
Western Region,May,Yam,High,Plant more for higher sales,
Western Region,May,Cocoyam,High,Plant more for higher sales,
Western Region,May,Pepper,High,Plant more for higher sales,
Western Region,May,Cassava,High,Plant more for higher sales,
Western Region,June,Maize,Low,Reduce planting, focus on storage
Western Region,June,Tomato,Low,Reduce planting, focus on storage
Western Region,June,Rice,High,Plant more for higher sales,
Western Region,June,Plantain,High,Plant more for higher sales,
Western Region,June,Yam,Low,Reduce planting, focus on storage
Western Region,June,Cocoyam,Low,Reduce planting, focus on storage
Western Region,June,Pepper,Low,Reduce planting, focus on storage
Western Region,June,Cassava,High,Plant more for higher sales,
Western Region,July,Maize,Low,Reduce planting, focus on storage
Western Region,July,Tomato,Low,Reduce planting, focus on storage
Western Region,July,Rice,High,Plant more for higher sales,
Western Region,July,Plantain,High,Plant more for higher sales,
Western Region,July,Yam,Low,Reduce planting, focus on storage
Western Region,July,Cocoyam,Low,Reduce planting, focus on storage
Western Region,July,Pepper,Low,Reduce planting, focus on storage
Western Region,July,Cassava,High,Plant more for higher sales,
Western Region,August,Maize,Low,Reduce planting, focus on storage
Western Region,August,Tomato,Low,Reduce planting, focus on storage
Western Region,August,Rice,High,Plant more for higher sales,
Western Region,August,Plantain,High,Plant more for higher sales,
Western Region,August,Yam,Low,Reduce planting, focus on storage
Western Region,August,Cocoyam,Low,Reduce planting, focus on storage
Western Region,August,Pepper,Low,Reduce planting, focus on storage
Western Region,August,Cassava,High,Plant more for higher sales,
Western Region,September,Maize,Low,Reduce planting, focus on storage
Western Region,September,Tomato,Low,Reduce planting, focus on storage
Western Region,September,Rice,Low,Reduce planting, focus on storage
Western Region,September,Plantain,High,Plant more for higher sales,
Western Region,September,Yam,Low,Reduce planting, focus on storage
Western Region,September,Cocoyam,Low,Reduce planting, focus on storage
Western Region,September,Pepper,Low,Reduce planting, focus on storage
Western Region,September,Cassava,High,Plant more for higher sales,
Western Region,October,Maize,Low,Reduce planting, focus on storage
Western Region,October,Tomato,Low,Reduce planting, focus on storage
Western Region,October,Rice,Low,Reduce planting, focus on storage
Western Region,October,Plantain,High,Plant more for higher sales,
Western Region,October,Yam,Low,Reduce planting, focus on storage
Western Region,October,Cocoyam,Low,Reduce planting, focus on storage
Western Region,October,Pepper,Low,Reduce planting,focus on storage
Western Region,October,Cassava,High,Plant more for higher sales,
Western Region,November,Maize,Low,Reduce planting, focus on storage
Western Region,November,Tomato,Low,Reduce planting, focus on storage
Western Region,November,Rice,Low,Reduce planting, focus on storage
Western Region,November,Plantain,High,Plant more for higher sales,
Western Region,November,Yam,Low,Reduce planting, focus on storage
Western Region,November,Cocoyam,Low,Reduce planting, focus on storage
Western Region,November,Pepper,Low,Reduce planting, focus on storage
Western Region,November,Cassava,High,Plant more for higher sales,
Western Region,December,Maize,Low,Reduce planting, focus on storage
Western Region,December,Tomato,Low,Reduce planting, focus on storage
Western Region,December,Rice,Low,Reduce planting, focus on storage
Western Region,December,Plantain,High,Plant more for higher sales,
Western Region,December,Yam,Low,Reduce planting, focus on storage
Western Region,December,Cocoyam,Low,Reduce planting, focus on storage
Western Region,December,Pepper,Low,Reduce planting, focus on storage
Western Region,December,Cassava,High,Plant more for higher sales,
